sep=;
#; CourseCode; CourseTitle; section; time; date; instructor; credit
206; EDUC 211; Psych Foundn of Teaching/Learning; B; 6:15 PM - 9:00 PM; ; Andrew Shutsa; 3.00
207; EDUC 222; Principles of Teaching & Learning; A; 9:30 AM - 10:45 AM; ; Lisa Olding; 3.00
208; EDUC 222; Principles of Teaching & Learning; P; 3:00 PM - 4:15 PM; ; Nina Lui; 3.00
209; EDUC 233; Foundations of Education; A; 3:00 PM - 5:45 PM; ; Andrew Shutsa; 3.00
210; EDUC 233; Foundations of Education; B; 4:30 PM - 7:30 PM; ; Tba; 3.00
211; EDUC 302; Initial Classroom Experience; A; 8:00 AM - 9:15 AM; ; Lisa Olding; 1.00
212; EDUC 303; Initial Classroom Experience; A; 8:00 AM - 9:15 AM; ; Lisa Olding; 1.00
213; EDUC 303; Initial Classroom Experience; B; 8:00 AM - 9:15 AM; ; Lisa Olding; 1.00
214; EDUC 310; The Exceptional Child in Reg. Class; A; 9:30 AM - 10:45 AM; ; Moira Fricke; 3.00
215; EDUC 310; The Exceptional Child in Reg. Class; B; 12:00 PM - 1:15 PM; R; Moira Fricke; 3.00
216; EDUC 321; Curriculum Planning for the Classrm; A; 6:15 PM - 9:00 PM; ; Nina Lui; 3.00
217; EDUC 345; Gender and Education; A; 6:15 PM - 9:00 PM; ; Tba; 3.00
218; EDUC 350; Teaching Physical Education; A; 3:00 PM - 4:15 PM; W; David Erickson; 3.00
219; EDUC 353; Environment. Ed:Curriculum&Pedagogy; A; 8:00 AM - 10:45 AM; ; Matthew; 3.00
220; EDUC 365; Social Issues in Education; A; 12:00 PM - 1:15 PM; W; Lisa Olding; 3.00
221; EDUC 401; Assessm't & Evaluation for Learning; A; 9:30 AM - 10:45 AM; ; Nina Lui; 3.00
222; EDUC 401; Assessm't & Evaluation for Learning; A; 12:00 PM - 1:15 PM; ; Nina Lui; 3.00
223; EDUC 401; Assessm't & Evaluation for Learning; P; 9:30 AM - 10:45 AM; ; Nina Lui; 3.00
224; EDUC 401; Assessm't & Evaluation for Learning; P; 12:00 PM - 1:15 PM; ; Nina Lui; 3.00
225; EDUC 402; Initial Classroom Experience; A; 8:00 AM - 9:15 AM; ; Lisa Olding; 1.00
226; EDUC 402; Initial Classroom Experience; P; 8:00 AM - 2:45 PM; ; Nina Lui; 1.00
227; EDUC 403; Initial Classroom Experience; A; 8:00 AM - 9:15 AM; ; Lisa Olding; 1.00
228; EDUC 411; Early Learning: Curriculum & Assess; A; 6:15 PM - 9:00 PM; ; Lisa Peterson; 3.00
229; EDUC 411; Early Learning: Curriculum & Assess; P; 6:15 PM - 9:00 PM; ; Lisa Peterson; 3.00
230; EDUC 412; Strategies for the Except'l Child; A; 9:30 AM - 10:45 AM; ; Moira Fricke; 3.00
231; EDUC 412; Seminar; A   D1; 8:00 AM - 9:15 AM; ; Moira Fricke; 1.00
232; EDUC 453; Extended Practicum; A; -; ; Jackie Buitelaar; 15.00
233; EDUC 453; Extended Practicum; B; -; ; Jackie Buitelaar; 15.00
